"doc_id","text","year","type","language","company","pattern"
"2019_SR_EN_ALDINORD.txt.10","OVER 8,600 STAKEHOLDERS ACROSS THE ALDI COMPANIES SURVEYED ABOUT THEIR OPINIONS ON SUSTAINABILITY 77,661 ALDI EMPLOYEES 9COUNTRIES, 71 LEGALLY INDEPENDENT REGIONAL COMPANIES 6 SDGS THAT ARE OF INCREASED RELEVANCE TO US AS RETAILERS 12.2, 12.5 16.5 17.16 3 SUSTAINABILITY REPORT 2019 TABLE OF CONTENTS‚ FOREWORD‚ MANAGEMENT‚ COUNTRIES‚ CUSTOMER & PRODUCT‚ SUPPLY CHAIN & RESOURCES‚ CLIMATE & ENVIRONMENT‚ EMPLOYEES & COMMUNITY‚ APPENDIX  SUSTAINABILITY APPROACH GRI 102-4, -6, -11, -16 The ALDI companies are internationally successful discounters which sell high-quality products at consistently affordable prices in nine European countries. As customer expectations change every year, we never stop evolving but our traditional values remain unchanged: ALDI Nord is simple, reliable, responsible. These values guide our actions and have been codified in our ˜Simply ALDI mission statement.",2019,"SR","EN","ALDINORD","##"
"2019_SR_EN_ALDINORD.txt.19","OUR CONTRIBUTION TO THE WORLDWIDE SUSTAINABILITY GOALS GRI 102-11, -12, -16 We support the Sustainable Development Goals (SDGs) of the United Nations and do our part to achieve them. In particular, we focus on promoting responsible consumption, the sustainable development of our own-brand ranges along our entire value chain, alongside the efficient use of resources across all our business processes.",2019,"SR","EN","ALDINORD","##"
"2019_SR_EN_ALDINORD.txt.21","OUR CRQA STRATEGY GRI 112-11, -14, -16 How can we further increase our contribution to achievement of the SDGs? What expectations do our customers have of us “ and what demands will they make tomorrow? These questions guided the development of our Corporate Responsibility Quality Assurance (CRQA) Strategy in 2019. Our materiality analysis, alongside other surveys and further research, helped us identify the wishes and demands of our customers. But the starting point is always our CR Policy, published in 2015.",2019,"SR","EN","ALDINORD","##"
"2019_SR_EN_ALDINORD.txt.30","5 SUSTAINABILITY REPORT 2019 TABLE OF CONTENTS‚ FOREWORD‚ MANAGEMENT‚ COUNTRIES‚ CUSTOMER & PRODUCT‚ SUPPLY CHAIN & RESOURCES‚ CLIMATE & ENVIRONMENT‚ EMPLOYEES & COMMUNITY‚ APPENDIX  CLEAR AND MEASURABLE: OUR GOALS As part of our CR Programme1 , we set clear goals for all areas, including focus topics: CUSTOMER & PRODUCT New In Progress Target achieved Ongoing Process Key Description of goals & scope Status 2019 & next steps SDGs 100% sustainably certified and/or recycled materials for all product packaging by end of 2020 Transition of newly purchased product packaging to sustainably certified materials (FSCÂ® , PEFCâ„¢, EU Ecolabel or comparable standards) or consisting of more than 70% recycled materials at ALDI Nord, depending on availability by the end of 2020.",2019,"SR","EN","ALDINORD","##"
"2019_SR_EN_ALDINORD.txt.48","6 SUSTAINABILITY REPORT 2019 TABLE OF CONTENTS‚ FOREWORD‚ MANAGEMENT‚ COUNTRIES‚ CUSTOMER & PRODUCT‚ SUPPLY CHAIN & RESOURCES‚ CLIMATE & ENVIRONMENT‚ EMPLOYEES & COMMUNITY‚ APPENDIX  CUSTOMER & PRODUCT Description of goals & scope Status 2019 & next steps SDGs 100% unpackaged organic fruit and vegetable articles or in environmentally friendly packaging by end of 2023 100% of our organic products (organic fruit & vegetables) will be unpackaged or use environmentally friendly packaging in all ALDI companies by end of 2023. The use of plastic is to be reduced to a minimum “ taking into account product quality and food losses.",2019,"SR","EN","ALDINORD","##"
"2019_SR_EN_ALDINORD.txt.62","Cooperate at least with one partner on national or international level on product range for children by end of 2021 Cooperation with suppliers, organisations and experts for improving current product ranges for children and for working on innovations for all ALDI companies by end of 2021 2021 New goal. 17.16 Improved nutrient composition in 100% of the defined product groups by end of 2022 Upgrade products through optimised nutritional composition (e.g. reduce salt, sugar or fat, or increase fibres) and offer reliable product ranges for customers with special dietary needs in the product groups Breakfast, Dairy, Chilled Convenience, Freezer and Non-Alcoholic Beverages in all ALDI companies by end of 2022 2022 New goal. See Responsible product ranges. 2.2 New In Progress Target achieved Ongoing Process Key 7 SUSTAINABILITY REPORT 2019 TABLE OF CONTENTS‚ FOREWORD‚ MANAGEMENT‚ COUNTRIES‚ CUSTOMER & PRODUCT‚ SUPPLY CHAIN & RESOURCES‚ CLIMATE & ENVIRONMENT‚ EMPLOYEES & COMMUNITY‚ APPENDIX  Description of goals & scope Status 2019 & next steps SDGs Extend nutritional labelling Introduction of nutritional label (e.g. Nutri-Score, The Keyhole) in all ALDI countries for own-brand products âˆž Project ongoing. ALDI France will label the first products in 2020. ALDI Belgium will also start using the Nutri-Score in 2020. ALDI Netherlands will begin with the introduction after mid-2021.",2019,"SR","EN","ALDINORD","##"
"2019_SR_EN_ALDINORD.txt.72","CUSTOMER & PRODUCT New In Progress Target achieved Ongoing Process Key 8 SUSTAINABILITY REPORT 2019 TABLE OF CONTENTS‚ FOREWORD‚ MANAGEMENT‚ COUNTRIES‚ CUSTOMER & PRODUCT‚ SUPPLY CHAIN & RESOURCES‚ CLIMATE & ENVIRONMENT‚ EMPLOYEES & COMMUNITY‚ APPENDIX  CUSTOMER & PRODUCT SUPPLY CHAIN & RESOURCES Description of goals & scope Status 2019 & next steps SDGs Integrating 100% of all stores in a partnership to reduce food waste by end of 2021 Integrate 100% of all ALDI stores in cooperations with NGOs to reduce food waste by 2021 (e.g. Tafel, Too Good To Go, Refood) The goal is reached if every store works regularly* with one or more defined potential partners.",2019,"SR","EN","ALDINORD","##"
"2019_SR_EN_ALDINORD.txt.84","12.2 15.2 New In Progress Target achieved Ongoing Process Key 9 SUSTAINABILITY REPORT 2019 TABLE OF CONTENTS‚ FOREWORD‚ MANAGEMENT‚ COUNTRIES‚ CUSTOMER & PRODUCT‚ SUPPLY CHAIN & RESOURCES‚ CLIMATE & ENVIRONMENT‚ EMPLOYEES & COMMUNITY‚ APPENDIX  SUPPLY CHAIN & RESOURCES Description of goals & scope Status 2019 & next steps SDGs 100% sustainable cotton by end of 2025 Use of sustainable cotton (e.g. GOTS, OCS 100/blended, Fairtrade, recycled cotton, BCI, CmiA) for all clothing and home textiles in all ALDI companies by end of 2025 2025 Project ongoing. Publication of International Cotton Purchasing Policy in 2020; 36% in 2019; +3 percentage points compared to the previous year.",2019,"SR","EN","ALDINORD","##"
"2019_SR_EN_ALDINORD.txt.94","17.16 New In Progress Target achieved Ongoing Process Key 10 SUSTAINABILITY REPORT 2019 TABLE OF CONTENTS‚ FOREWORD‚ MANAGEMENT‚ COUNTRIES‚ CUSTOMER & PRODUCT‚ SUPPLY CHAIN & RESOURCES‚ CLIMATE & ENVIRONMENT‚ EMPLOYEES & COMMUNITY‚ APPENDIX  CLIMATE & ENVIRONMENT EMPLOYEES & COMMUNITY Description of goals & scope Status 2019 & next steps SDGs 40% reduction in greenhouse gas emissions by end of 2021 40% reduction in greenhouse gas emissions in all ALDI companies by end of 2021, compared to the reference year 2015 2021 Project ongoing. 15.5% reduction in greenhouse gas emissions in 2019, compared to the reference year 2015.",2019,"SR","EN","ALDINORD","##"
"2019_SR_EN_ALDINORD.txt.109","In a departure from previous processes, we carried out desk research. Competitors and NGOs from the ALDI countries were examined, as were current and upcoming European regulations and United Nations guidelines. Another area of desk research was the link between the sub-targets of the Sustainable Development Goals (SDGs) and our topics (for topics, see next section).",2019,"SR","EN","ALDINORD","##"
