"doc_id","text","year","type","language","company","pattern"
"2019_SR_EN_ALDINORD.pdf.1","GOURMETS –
                                                                                                                    ALDI FRANCE
                                                                                            In the land of gourmets, ALDI France stocks the shelves
                                                                                       with a growing number of sustainable and regional products,                                                                 100%
                                                                                         with an emphasis on high quality at affordable ALDI prices.                                                  BEE FRIENDLY PRODUCTS
                                                                                                                                                                                                              By the end of 2021,
                                                                    ALDI France is growing, the stores are undergoing
                                                                                                                                                                                                       we plan to have switched
                                                                    extensive modernisation, and we are raising
                                                                                                                                                                                                 to 100% BEE FRIENDLY-certified
                                                                    interest in our products by improving customer
                                                                    relationship management and social media                                                                                         European apples and pears
                                                                    management. We have boosted brand awareness                                                                                          and are working on the
                                                                    among younger customers, increased social                                                                                    introduction of further products.
                                                                    media followers and expanded our offline
                                                                    communication.
                                                                    We demand particularly strict standards from
                                                                                                                                                                                                                         0
                                                                    our suppliers and aim to go beyond the legal
                                                                    requirements. As part of our commitment
                                                                    to protecting the environment, we support                  in other words, the meat comes from animals
                                                                    organisations such as BEE FRIENDLY. This                   born, raised and slaughtered in France. In
                                                                                                                                                                                                                 BATTERY EGGS
                                                                    alliance promotes agricultural practices designed          addition, the Pays Gourmand own brand denotes
                                                                    to protect bees and their ecosystem. In 2019, we           products made according to traditional French
                                                                                                                                                                                                With our National Animal Welfare
                                                                    participated again in Think Fish Week (Semaine             recipes, produced in the region where the recipe
                                                                    de la pêche responsable), which was spearheaded            originated, with the main ingredients sourced in                  Purchasing Policy, we underline
                                                                    by the Marine Stewardship Council (MSC) and                France. In further efforts to provide transparency                     our goal of the prohibition
                  ALDI France in profile
                                                                    the Aquaculture Stewardship Council (ASC). We              on nutritional value to customers, we will                                of battery eggs by 2020
          Regional companies                        13              expanded our organic product ranges from 151 to            introduce the first products with Nutri-Score                            for processed products,
                                                                    223 items in 2019. Under the own brand BON &               labelling in 2020. We are also extending the ALDI
          Stores                                  870                                                                                                                                                and by 2025 for fresh eggs.
          Total ALDI employees                 10,070               VÉG, we offer vegetarian and vegan products.               Transparency Code (ATC), for own-brand products
          Year of market entry                   1988
                                                                                                                               in France that contain at least three per cent meat.
                                                                    Regional products play an even more significant
          Website                           www.aldi.fr
                                                                    role in France, with 99 per cent of our fresh and
          Progress on national goals 2019 →                         frozen meat already sourced from French farms;",2019,"SR","EN","ALDINORD","TRUE"
"2020_AR_EN_AHOLDDE1.pdf.1","and fair view of the assets,
  liabilities, financial position and profit or loss of the Company and the undertakings included in the      This Annual Report, including the 2020 financial statements, which are audited by
  consolidation taken as a whole.                                                                             PricewaterhouseCoopers Accountants N.V., has been presented to the Supervisory Board.
• The management report included in this Annual Report gives a",2020,"AR","EN","AHOLDDE1","TRUE"
"2020_AR_EN_AHOLDDE1.pdf.2","and fair view of the position of the      The 2020 financial statements and the independent auditor’s report relating to the audit of the 2020
  Company and the undertakings included in the consolidation taken as a whole as of January 3, 2021,          financial statements were discussed with the Audit and Finance Committee in the presence of the
  and of the development and performance of the business for the financial year then ended.                   Management Board and the external independent auditor. The Supervisory Board recommends that the
                                                                                                              General Meeting of Shareholders adopt the 2020 financial statements included in this Annual Report
• The management report includes a description of the principal risks and uncertainties that the              and recommends the proposal to pay a cash dividend for the financial year 2020 of €0.90 per common
  Company faces.                                                                                              share. An amount of €0.50 per common share was paid as interim dividend on August 27, 2020. The
                                                                                                              remaining amount of €0.40 per common share shall be payable on April 29, 2021.
Annual declaration on internal risk management and control systems
The Management Board, as required by section 1.4.3 of the Dutch Corporate Governance Code,                    Supervisory Board
makes the following declaration:                                                                               Peter Agnefjӓll (Chair)
The Management Board is responsible for establishing and maintaining adequate internal risk                    Bill McEwan (Vice Chair)
management and control systems. Such systems are designed to manage rather than eliminate the risk             René Hooft Graafland
of failure to achieve important business objectives, and can only provide reasonable and not absolute          Dominique Leroy
assurance against material misstatement or loss. This report provides sufficient insights into any
significant deficiencies in the effectiveness of the internal risk management and control systems.             Ben Noteboom
Management is not aware of any critical failings of these systems during 2020.                                 Mary Anne Citrino
                                                                                                               Katie Doyle
This report includes those material risks and uncertainties that are relevant to the expectation of the
Company’s continuity for the period of twelve months after the preparation of the report.                      Helen Weir
                                                                                                               Frank van Zanten
With respect to financial reporting based on the current state of affairs, it is justified that the financial
reporting is prepared on a going concern basis and management has assessed whether the risk
                                                                                                                                                                                    Ahold Delhaize Annual Report 2020 125",2020,"AR","EN","AHOLDDE1","TRUE"
"2020_AR_EN_AHOLDDE1.pdf.3","business performance.
For incentive purposes, we look at operating cash flow to reflect the",2020,"AR","EN","AHOLDDE1","TRUE"
"2020_AR_EN_AHOLDDE1.pdf.4","business performance of our operations.
In case of unforeseen or unusual circumstances occurring during the performance period that have an impact on the performance of
the incentive plan as assessed at the end of the performance period, the Supervisory Board can consider an adjustment, in accordance
with the principles of reasonableness and fairness.
                                                                                                                                                                                                          Ahold Delhaize Annual Report 2020 134",2020,"AR","EN","AHOLDDE1","TRUE"
"2020_AR_EN_AHOLDDE1.pdf.5","business performance.
In case of unforeseen or unusual circumstances occurring during the performance period that have an impact on the performance of the incentive plan as assessed at the end of the performance period, the Supervisory Board may consider an adjustment, in accordance with
the principles of reasonableness and fairness.
With respect to EPS growth specifically, planned or anticipated corporate events occurring during the performance period, including share buybacks, transactions, and M&A activity, that may, positively or negatively, affect EPS performance, are always factored into the
performance targets. In case of a significant unplanned share buyback that was not taken into the budget, an adjustment will be made to ensure that EPS performance for incentive purposes is not positively affected.
                                                                                                                                                                                                                                      Ahold Delhaize Annual Report 2020 137",2020,"AR","EN","AHOLDDE1","TRUE"
"2020_AR_EN_AHOLDDE1.pdf.6","market value and they rejected the external valuation
report as, in their view, the valuation report is not based on at arm’s length principles. Although the
                                                                                                                                                                                           Ahold Delhaize Annual Report 2020 212",2020,"AR","EN","AHOLDDE1","TRUE"
"2020_AR_EN_AHOLDDE1.pdf.7","to our values of integrity and
care.
 Performance indicator description1                                                                         2020             2019
 Number of injuries that result in lost days per 100 full-time equivalents2                                 2.0              2.1
 Occupational illness frequency rate3                                                                     0.04              0.17
1 Safety at work data excludes offices.
2 2019 and 2020 data includes bol.com, Etos, Gall & Gall and Peapod.
3 2019 data excludes Alfa Beta, Delhaize Belgium. 2020 data excludes Alfa Beta, Delhaize Belgium and Delhaize Serbia. 2019 and
  2020 data includes Etos and Gall & Gall.
How we performed
In 2020, the number of injuries that resulted in lost days decreased by 6% to 2.0 injuries per 100 full-
time equivalents. While COVID-19 put additional pressure on our brands, associate health and safety
remained a top priority and we were able to decrease both the rate of lost days due to accidents and
the occupational illness frequency rate.
The safety metric was positively impacted by increased working hours as well as additional measures
put in place to help front-line associates stay healthy. The retail locations reduced the rate of lost work
days due to a strong safety focus and operational changes through the year, including reduced
operating hours (based on local mandates) and temporary closure of some store production
departments. Increased activity and product volume in distribution centers resulted in increased injuries
in some facilities. COVID-19 cases are not included in the reported data and, therefore, did not impact
performance on these metrics.
Our brands continue to prioritize integrating everyday health and safety measures into the workplace.
For example, at Delhaize Belgium, a performance management dashboard has enabled the brand to
take a proactive rather than reactive approach to associate safety.
Occupational illness frequency rate decreased significantly by 0.13 points to 0.04 illnesses per one
million hours worked. The basis for the decline in occupational illnesses is consistent with more
personal protective equipment usage. Many occupational illness exposures can be reduced with the
use of personal protective equipment such as masks and gloves.
                                                                                                                                                                                                        Ahold Delhaize Annual Report 2020 235",2020,"AR","EN","AHOLDDE1","TRUE"
"2020_AR_EN_AHOLDDE1.pdf.8","Accountants, a regulation with respect to independence) and other relevant independence
  and fair view of the financial position of the Group (the company together with its subsidiaries) as at  requirements in the Netherlands. Furthermore, we have complied with the ‘Verordening gedrags- en
  January 3, 2021 and of its result and cash flows for the period from December 30, 2019 to January 3,     beroepsregels accountants’ (VGBA, Dutch Code of Ethics).
  2021 in accordance with International Financial Reporting Standards as adopted by the European
                                                                                                           Our audit approach
  Union (EU-IFRS) and with Part 9 of Book 2 of the Dutch Civil Code;
                                                                                                           Overview and context
• The parent company financial statements of Koninklijke Ahold Delhaize N.V. give a",2020,"AR","EN","AHOLDDE1","TRUE"
"2020_AR_EN_AHOLDDE1.pdf.9","and fair view     Koninklijke Ahold Delhaize N.V. is an international food retail group, operating supermarkets and
  of the financial position of the company as at January 3, 2021 and of its result for the period from     e‑commerce platforms in Belgium, the Czech Republic, Greece, Luxembourg, the Netherlands,
  December 30, 2019 to January 3, 2021 in accordance with Part 9 of Book 2 of the Dutch Civil Code.        Romania, Serbia and the United States and through participating in joint ventures in Indonesia and
                                                                                                           Portugal. The Group is comprised of several components and therefore we considered our group audit
What we have audited
                                                                                                           scope and approach as set out in the section ‘The scope of our group audit’. We paid specific attention
We have audited the accompanying financial statements for the period December 30, 2019 to January
                                                                                                           to the areas of focus driven by the operations of the Group, as set out below.
3, 2021 of Koninklijke Ahold Delhaize N.V., Zaandam, the Netherlands. The financial statements
include the consolidated financial statements of the Group and the parent company financial                COVID-19 is reflected in the 2020 financial statements by an increase in net sales, cost of sales as well
statements.                                                                                                as increases in selling expenses, profitability and cash flows. Additionally, the withdrawals from the
                                                                                                           United Food & Commercial Workers International Union (UFCW) Industry Pension Fund (the “National
The consolidated financial statements comprise:
                                                                                                           Plan”), the UFCW Local 1500 pension fund (the “1500 Plan”) and the settlement agreement for Food
• the consolidated balance sheet as at January 3, 2021;                                                    Employers Labor Relations Association and United Food and Commercial Workers Pension Fund
                                                                                                           (“FELRA”) and the Mid-Atlantic UFCW and Participating Employers Pension Fund (“MAP”) significantly
• the following statements for the period from December 30, 2019 to January 3, 2021: the consolidated
                                                                                                           increased the 2020 pension expense. Both the impact of COVID-19 and the employee benefit plan
  income statement, the consolidated statements of comprehensive income, changes in equity and
                                                                                                           transactions were considered in the determination of materiality as described in the section ‘Materiality’.
  cash flows; and
                                                                                                           As part of designing our audit, we determined materiality and assessed the risk of material
• the notes, comprising a summary of significant accounting policies and other explanatory information.
                                                                                                           misstatement in the financial statements. In particular, we considered where the Management Board
The parent company financial statements comprise:                                                          made important judgments, for example, in respect of significant accounting estimates that involved
                                                                                                           making assumptions and considering future events that are inherently uncertain. In Note 2 of the
• the parent company balance sheet as at January 3, 2021;
                                                                                                           financial statements, the company describes the areas of judgment in applying accounting policies and
• the parent company income statement for the period from December 30, 2019 to January 3, 2021;            the key sources of estimation uncertainty.
  and
                                                                                                           As in 2019, we considered the impairment testing of goodwill and brand names, and the recognition of
• the notes, comprising a summary of accounting policies applied and other explanatory information.        vendor allowance income as key audit matters, in view of the significant estimation uncertainty and the
The financial reporting framework applied in the preparation of the financial statements is EU-IFRS and    related higher inherent risk of material misstatement. Furthermore, we continue to consider the
the relevant provisions of Part 9 of Book 2 of the Dutch Civil Code for the consolidated financial         employee benefit plan measurement and disclosures as a key audit matter because of the complexity
statements and Part 9 of Book 2 of the Dutch Civil Code for the parent company financial statements.       and judgment required in auditing the defined benefit obligation estimates as well as the extensive
                                                                                                           disclosures required, specifically in the area of the group’s participation in US multi-employer plans.
The basis for our opinion                                                                                  Each of these key audit matters have been set out in the section ‘Key audit matters’ of this report.
We conducted our audit in accordance with Dutch law, including the Dutch Standards on Auditing. We
have further described our responsibilities under those standards in the section ‘Our responsibilities for Last year, we considered the recognition of a right of use asset and a lease liability as part of first-year
the audit of the financial statements’ of our report.                                                      adoption of the lease standard (IFRS 16) as a key audit matter. As this was completed in 2019, we no
                                                                                                           longer consider this a key audit matter.
                                                                                                                                                                                   Ahold Delhaize Annual Report 2020 239",2020,"AR","EN","AHOLDDE1","TRUE"
